OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
2363,2017,CA,CCO,ORC, ,17100662,2017/09/13 00:00:00+00,2017/09/13 00:00:00+00,14,1,1,0.01499808,,,,,,2010,87.80859375,39.9520066534687
2364,2017,CA,CCO,ORC,CANYON I,17105068,2017/09/25 00:00:00+00,2017/10/01 00:00:00+00,9,7,1,2661.415,,,{61623DEF-3943-4185-8E8E-F7DFF24FEAD3},,,2010,15659865.921875,37891.5495399627
2365,2017,CA,CCO,ORC,CANYON II,17110494,2017/10/09 00:00:00+00,2017/10/17 00:00:00+00,5,7,1,9198.028,,,{8DD9B655-367A-4446-A544-5409A3034132},,,2010,54071908.875,56494.6997950555
2366,2017,CA,CCO,ORC,LAMBERT ,17113979,2017/10/18 00:00:00+00,2017/10/18 00:00:00+00,14,1,1,28.24179,,,,,,2010,166515.1875,3076.05486505449
2367,2017,CA,CCO,ORC, ,17116171,2017/10/23 00:00:00+00,2017/10/23 00:00:00+00,14,1,1,0.08686703,,,,,,2010,509.8046875,185.270236078712
2368,2017,CA,CCO,ORC, ,17113317,2017/10/16 00:00:00+00,2017/10/16 00:00:00+00,14,1,1,0.07130744,,,,,,2010,415.22265625,104.906264299895
2369,2017,CA,CCO,ORC, ,17110695,2017/10/09 00:00:00+00,2017/10/09 00:00:00+00,14,1,1,0.258453,,,,,,2010,1509.265625,169.942283340797
2370,2017,CA,CCO,ORC,CREEK,17121768,2017/11/06 00:00:00+00,2017/11/06 00:00:00+00,14,1,1,0.1501368,,,,,,2010,878.79296875,192.212414941944
2371,2017,CA,CCO,ORC, ,17123139,2017/11/10 00:00:00+00,2017/11/10 00:00:00+00,14,1,1,0.002960623,,,,,,2010,17.33984375,16.5709603697051
2372,2017,CA,CCO,ORC,TOMATO SPRINGS,17140376,2017/12/22 00:00:00+00,2017/12/22 00:00:00+00,14,1,1,0.5389289,,,,,,2010,3159.30078125,265.791635356242
2373,2017,CA,CCO,ORC,CARBON CANYON PARK,17117107,2017/10/25 00:00:00+00,2017/10/25 00:00:00+00,14,1,1,4.446725,,,,,,2010,26199.51953125,793.279259176882
2374,2017,CA,CCO,ORC,WOOD,17139397,2017/12/20 00:00:00+00,2017/12/20 00:00:00+00,14,1,1,0.009493228,,,,,,2010,55.49609375,43.384472841162
2375,2017,CA,CCO,ORC, ,17140202,2017/12/22 00:00:00+00,2017/12/22 00:00:00+00,14,1,1,0.001356887,,,,,,2010,7.93359375,13.3867071561042
2376,2017,CA,CDF,NEU,JASPER,00025249,2017/09/26 00:00:00+00,2017/09/26 00:00:00+00,14,1,1,27.64261,,,{B43CB9A5-7008-494D-B892-429E6B6385F6},,,2010,185693.953125,2608.12931473906
2377,2017,CA,CDF,NEU,GREENHORN,00019612,2017/07/27 00:00:00+00,2017/08/03 00:00:00+00,14,8,1,10.14809,,,{5FADCA98-ADC5-4312-8FB0-5D873C8C2CD4},,,2010,68420.71484375,1205.54852813413
2378,2017,CA,CDF,NEU,CHINA,00017375,2017/07/05 00:00:00+00,2017/07/05 00:00:00+00,11,1,1,13.89821,,,{76FA7D99-F98F-4060-A7BB-9EDC5FF9BA23},,,2010,93814.5,1711.56600776192
2379,2017,CA,CDF,NEU,GOLD,00018015,2017/07/11 00:00:00+00,2017/07/17 00:00:00+00,7,1,1,37.16428,,,{C686B0C7-F6A2-42A3-AAED-D91C313F4E64},,,2010,250806.515625,7795.23655353394
2380,2017,CA,CDF,NEU,STAGECOACH,00018852,2017/07/20 00:00:00+00,2017/07/23 00:00:00+00,3,1,1,11.93284,,,{D8835122-C3CA-4AF7-A847-97936568794C},,,2010,79875.9765625,1178.82289707463
2381,2017,CA,CDF,NEU,REX,00018071,2017/07/12 00:00:00+00,2017/07/14 00:00:00+00,2,1,1,11.73705,,,{65D238AB-3204-428C-8A87-85640FFCF19D},,,2010,79223.9609375,1445.08729376019
2382,2017,CA,CDF,NEU,GRIZZLY,00018971,2017/07/21 00:00:00+00,2017/07/31 00:00:00+00,10,1,1,10.82112,,,{BB886CC3-312C-4A0F-A7F4-00F1D2B1AAB8},,,2010,73353.40234375,1198.97497928279
2383,2017,CA,CDF,NEU,WEST,00017727,2017/07/09 00:00:00+00,2017/07/09 00:00:00+00,14,1,1,50.08102,,,{7CA5A69A-56D8-4389-A6C4-FE08C445335E},,,2010,336781.85546875,3857.43187127272
2384,2017,CA,CDF,NEU,CATLETT,00020435,2017/08/05 00:00:00+00,2017/08/05 00:00:00+00,14,1,1,12.87781,,,,,,2010,86044.265625,1861.65427411581
2385,2017,CA,CDF,NEU,MAVERICK,00020314,2017/08/03 00:00:00+00,2017/08/05 00:00:00+00,14,1,1,10.00226,,,,,,2010,66924.734375,1124.52620121957
2386,2017,CA,CDF,NEU,PLEASANT,00022877,2017/08/30 00:00:00+00,2017/09/06 00:00:00+00,14,1,1,392.4852,,,{BDA5C21E-3117-4EF7-986C-0AFE61F432C8},,,2010,2659898.47265625,8450.76365203413
2387,2017,CA,CDF,NEU,BROPHY,00024423,2017/09/16 00:00:00+00,2017/09/17 00:00:00+00,14,1,1,13.68829,,,,,,2010,92282.4375,2297.65318327736
2388,2017,CA,CDF,NEU,SMARTSVILLE,00026274,2017/10/08 00:00:00+00,2017/10/09 00:00:00+00,14,1,1,11.55905,,,,,,2010,78026.51171875,1371.10581754762
2389,2017,CA,CDF,NEU,VISTA,00026830,2017/10/14 00:00:00+00,2017/10/15 00:00:00+00,2,1,1,7.34516,,,{02D95016-D0BC-45C3-8FF6-8B8DCF2FEC5A},,,2010,49306.55078125,1081.51821784215
2390,2017,CA,CDF,NEU,BLACKFORD,00020097,2017/08/01 00:00:00+00,2017/08/08 00:00:00+00,14,1,1,29.1444,,,,,,2010,195797.41796875,1985.51480704191
2391,2017,CA,CDF,NEU,BEALE,00021927,2017/08/20 00:00:00+00,2017/08/22 00:00:00+00,11,1,1,867.0196,,,{B5988A86-848B-4A8B-81DD-19F1832FDD94},,,2010,5842856.8203125,11979.7567772258
2392,2017,CA,CDF,NEU,SPENCEVILLE,00019297,2017/07/24 00:00:00+00,2017/07/28 00:00:00+00,10,1,1,37.28971,Golf cart ignited,,{AFE50850-6454-47F9-A276-1D6BAC5C6AAE},,,2010,250737.2578125,2951.56054181701
2393,2017,CA,CDF,NEU,SPENCEVILLE,00013653,2017/05/28 00:00:00+00,2017/06/03 00:00:00+00,9,1,1,10.77169,Cause:  shooting,,,,,2010,72550.94140625,1419.27222947938
2394,2017,CA,CDF,NEU,MCCOURTNEY,00026279,2017/10/08 00:00:00+00,2017/10/11 00:00:00+00,14,7,1,75.53836,,WIND COMPLEX,{621CF578-D7DE-4336-8CE1-2C83ACE1BBE6},,00026295,2010,509705.78515625,7009.97361111123
2395,2017,CA,CDF,NEU,GARDEN,00026444,2017/10/10 00:00:00+00,2017/10/10 00:00:00+00,10,1,1,19.13759,,,{2FCA2278-5B1F-4D05-A2AA-5D49EC8B4649},,,2010,128650.73046875,2426.35997277075
2396,2017,CA,CDF,NEU,LOBO,00026275,2017/10/08 00:00:00+00,2017/10/26 00:00:00+00,14,7,1,820.6441,,WIND COMPLEX,{221289A1-9432-4205-A030-F1CEE62BE5E6},,00026295,2010,5544523.4453125,17146.2105075156
2397,2017,CA,CDF,NEU,BREWER,00017032,2017/07/02 00:00:00+00,2017/07/09 00:00:00+00,2,1,1,12.40011,,,,,,2010,83397.23046875,1136.14106793648
2398,2017,CA,CDF,MVU,BORDER 9,00019962,2017/09/08 00:00:00+00,2017/09/08 00:00:00+00,14,1,1,22.50286,,,,,,2010,128601.9296875,2222.13936743511
2399,2017,CA,CDF,MVU,SLOANE,00015497,2017/06/27 00:00:00+00,2017/06/27 00:00:00+00,9,1,1,13.92714,,,,,,2010,79948.48046875,1436.81909977848
2400,2017,CA,CDF,MVU,WILSON,00021916,2017/10/15 00:00:00+00,2017/10/16 00:00:00+00,9,1,1,27.39173,SHOOTING,,{D5A58C62-8DAA-4B8C-9FE5-34242CCE64E3},,,2010,158690.265625,2784.64362061006
2401,2017,CA,CDF,MVU,SUNSHINE COMPLEX,00020524,2017/09/18 00:00:00+00,2017/09/18 00:00:00+00,10,1,1,15.96021,,SUNSHINE COMPLEX,,,00020524,2010,92933.41796875,2255.1932646904
2402,2017,CA,CDF,MVU,MONTEZUMA,00019328,2017/08/26 00:00:00+00,2017/08/28 00:00:00+00,10,1,1,65.18426,,,{852E3BD4-BF87-4887-9820-B8A9D1355D59},,,2010,377943.3046875,3041.19937109674
2403,2017,CA,CDF,MVU,LILAC,00024612,2017/12/07 00:00:00+00,2017/12/24 00:00:00+00,14,1,1,4080.615, ,,{8822D5B4-E265-4FD2-A2BD-88E4AC044B93},,,2010,23702125.8242188,44578.6858947908
2404,2017,CA,CDF,MVU,JENNINGS 2,00016909,2017/07/11 00:00:00+00,2017/07/14 00:00:00+00,10,1,1,332.5865,,,{72376B17-16AF-45E3-8FE2-37F9C3189465},,,2010,1912410.4609375,8382.59842241871
2405,2017,CA,CDF,MVU,GREENFIELD,00013857,2017/06/09 00:00:00+00,2017/06/09 00:00:00+00,14,1,1,13.01627,,,,,,2010,74798.234375,1485.56746437761
2406,2017,CA,CDF,MVU,GATE,00012098,2017/05/20 00:00:00+00,2017/05/23 00:00:00+00,9,1,1,1912.906,"SHOOTING, BLM INC # 7605",,{3F75F361-41D0-4A16-A4A5-4B789EA7DE8A},,,2010,10951424.0625,15977.9328837627
2407,2017,CA,CDF,MVU,ECLIPSE,00019081,2017/08/21 00:00:00+00,2017/08/21 00:00:00+00,14,1,1,142.9097, ,,{E2707BE4-D48C-43C7-943A-1E3C3D0E4A9F},,,2010,818100.6875,5183.90910385205
2408,2017,CA,CDF,MVU,DEHESA 5,00013385,2017/06/04 00:00:00+00,2017/06/04 00:00:00+00,14,1,1,12.24801,,,,,,2010,70318.16796875,1475.7819315424
2409,2017,CA,CDF,MVU,BORDER 6,00019648,2017/09/01 00:00:00+00,2017/09/03 00:00:00+00,14,1,1,135.0444, ,,{BCC25163-DE42-4F85-98AC-8AF67CB91664},,,2010,771962.515625,7936.05282824782
2410,2017,CA,CDF,MVU,BLACK,00015328,2017/06/25 00:00:00+00,2017/06/26 00:00:00+00,14,1,1,33.67333,USFS inc # 1862 and cause = equipment,,,,,2010,195043.375,3101.39340379557
2411,2017,CA,CDF,MVU,BANDY 2,00021622,2017/08/17 00:00:00+00,2017/08/22 00:00:00+00,9,1,1,10.30523,"UAV , doesn't match CAIRS acres",,{5971433C-8CAA-4169-956E-8B128086BB37},,,2010,59556.8359375,1031.65777907355
2412,2017,CA,CDF,MMU,PEAK,00018116,2017/09/03 00:00:00+00,2017/09/09 00:00:00+00,10,1,1,677.8926,,,{F4529A6D-9DC1-497C-8362-82DB6DD9EF83},,,2010,4355158.69140625,12706.7857243179
2413,2017,CA,CDF,MMU,OAKWOOD,00011650,2017/06/10 00:00:00+00,2017/06/13 00:00:00+00,9,1,1,1428.533,,,{B3663C26-B62D-4F42-BF19-5EF72A7162A6},,,2010,9098661.44921875,27781.0100402335
2414,2017,CA,CDF,MMU,MISSION,00018115,2017/09/03 00:00:00+00,2017/09/13 00:00:00+00,11,1,1,988.4675, ,,{E84C5F09-F94A-4C63-A3D5-DF73406C71BE},,,2010,6322470.859375,23492.409922949
2415,2017,CA,CDF,MMU,DETWILER,00014474,2017/07/16 00:00:00+00,2017/08/31 00:00:00+00,9,1,1,81826.27, ,,{DAEE9426-6AB2-4B81-A275-87E37F44984E},,,2010,528043838.324219,243283.93181662
2416,2017,CA,CDF,MMU,BEN,00013022,2017/06/28 00:00:00+00,2017/07/06 00:00:00+00,10,1,1,558.1425,,,{8B5A97C0-E10C-4854-8537-69DACBB60AF2},,,2010,3582623.5234375,15561.6037172812
2417,2017,CA,CDF,MMU,WRIGHT,00009464,2017/05/12 00:00:00+00,2017/05/13 00:00:00+00,14,1,1,1730.466,,,{58323086-3E9E-4EED-8E85-6BA6E170C7B8},,,2010,10991215.1523438,17355.1735740535
2418,2017,CA,CDF,MMU,SPRING,00013291,2017/07/03 00:00:00+00,2017/07/07 00:00:00+00,2,1,1,208.2268,,,{47B6F806-78CE-4B87-834F-C2DA0EDBF6F2},,,2010,1339728.66796875,8837.84729712762
2419,2017,CA,CDF,MMU,CORONADO,00016525,2017/08/13 00:00:00+00,2017/08/13 00:00:00+00,10,1,1,123.1079,,,{AF415064-4AF4-40AF-8508-4C103339037D},,,2010,795565.5703125,4438.43984650474
2420,2017,CA,CDF,LNU,SMITH,00006018,2017/07/01 00:00:00+00,2017/07/01 00:00:00+00,14,1,1,18.19828,,,,,,2010,122338.7734375,1377.41062400715
2421,2017,CA,CDF,LNU,BEAR,00005694,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,14,2,1,11.68308,,,,,,2010,79068.60546875,1129.82820125769
2422,2017,CA,CDF,LNU,KNOXVILLE,00006031,2017/07/01 00:00:00+00,2017/07/01 00:00:00+00,14,2,1,30.00042,,,,,,2010,199540.484375,1812.3853569738
2423,2017,CA,CDF,LNU,GEYSERS,00004515,2017/05/24 00:00:00+00,2017/05/24 00:00:00+00,14,2,1,12.65132,,,,,,2010,84482.71484375,1145.41874083023
2424,2017,CA,CDF,LNU,MURPHY,00006709,2017/07/17 00:00:00+00,2017/07/17 00:00:00+00,14,1,1,32.9806,,,,,,2010,220423.9921875,2146.70455279022
2425,2017,CA,CDF,LNU,SITES,00006602,2017/07/15 00:00:00+00,2017/07/15 00:00:00+00,14,2,1,15.62878,,,,,,2010,105943.2421875,1373.89547048379
2426,2017,CA,LRA,VLJ,TOLL,00005654,2017/06/22 00:00:00+00,2017/06/22 00:00:00+00,14,2,1,43.80302,,,,,,2010,286497.09375,2525.29678114616
2427,2017,CA,CDF,LNU,SANDS,00006706,2017/07/17 00:00:00+00,2017/07/19 00:00:00+00,14,1,1,53.44394,,,{8D58EA91-8EB4-4C9A-A9F5-B624BF592DC7},,,2010,358663.40625,3380.86667606041
2428,2017,CA,CDF,LNU,BOTTLE,00007582,2017/08/08 00:00:00+00,2017/08/09 00:00:00+00,14,2,1,61.8303,,,{4BE91625-5EC7-499D-99F8-CE2C287AF86A},,,2010,414237.0703125,3396.88367196637
2429,2017,CA,CDF,LNU,FOOTHILL,00007092,2017/07/27 00:00:00+00,2017/07/27 00:00:00+00,4,1,1,4.213081,"2 Structures Destroyed, report says 4 house burned",,,,,2010,28344.91015625,814.099962631345
2430,2017,CA,CDF,LNU,INDEPENDENCE,00007092,2017/07/27 00:00:00+00,2017/07/27 00:00:00+00,14,1,1,4.209119,,,,,,2010,28006.4140625,1688.63080869688
2431,2017,CA,CDF,LNU,LAKEVILLE,00007364,2017/08/03 00:00:00+00,2017/08/03 00:00:00+00,14,1,1,37.01513,,,,,,2010,242603.125,2359.645235971
2432,2017,CA,CDF,LNU,CANYON,00007678,2017/08/11 00:00:00+00,2017/10/12 00:00:00+00,14,2,1,114.1168,,,{7F81D411-8D24-4DD9-A776-3D4DD846820F},,,2010,755120.63671875,4164.53754663698
2433,2017,CA,CDF,LNU,QUAIL,00007767,2017/08/13 00:00:00+00,2017/10/13 00:00:00+00,14,2,1,9.767098,,,,,,2010,64612.375,998.792627406112
2434,2017,CA,CDF,LNU,TIMM,00009783,2017/10/02 00:00:00+00,2017/10/03 00:00:00+00,14,2,1,125.7918,,,{58904E7E-8883-4A67-8DA1-D7D1AB633199},,,2010,831300.44140625,5465.73250320579
2435,2017,CA,CDF,LNU,WINTER,00006262,2017/07/06 00:00:00+00,2017/07/12 00:00:00+00,10,2,1,2366.235,,,{7485E457-FDA2-42C0-9B1D-BB414BB6A36D},,,2010,15669888.6835938,20397.5934237053
2436,2017,CA,CDF,LNU,BODEGA,00008288,2017/08/27 00:00:00+00,2017/08/28 00:00:00+00,14,1,1,17.76834,,,{0C28DAD9-20BA-47DE-B46E-8F4AC458CB52},,,2010,116801.5078125,2154.51645629462
2437,2017,CA,CDF,LNU,ESTATE,00009420,2017/09/23 00:00:00+00,2017/09/23 00:00:00+00,2,1,1,42.80334,6 houses burned,,{3BF5E6FC-52C3-4E43-AED3-F009379D82B3},,,2010,282833.3359375,4744.26333783377
2438,2017,CA,CDF,LNU,FORT,00009994,2017/10/07 00:00:00+00,2017/10/08 00:00:00+00,14,1,1,18.28065,,,,,,2010,121064.796875,1797.15398224445
2439,2017,CA,CDF,LNU,REDWOOD,00009324,2017/09/20 00:00:00+00,2017/09/21 00:00:00+00,14,2,1,14.02686,,,{8C9AC850-9C87-40BC-B760-93E45BC4409B},,,2010,92373.859375,1349.46434405635
2440,2017,CA,CDF,LNU,MULE,00009729,2017/09/05 00:00:00+00,2017/09/06 00:00:00+00,14,2,1,21.26687,,,,,,2010,142796.98828125,1567.13887490888
2441,2017,CA,CDF,LNU,SPRINGS,00008536,2017/09/01 00:00:00+00,2017/09/02 00:00:00+00,14,2,1,13.12532,,,,,,2010,87518.90234375,1287.54589789467
2442,2017,CA,CDF,LNU,RIDGE,00009953,2017/10/06 00:00:00+00,2017/10/08 00:00:00+00,14,2,1,54.95659,,,{EA1E9E36-3896-428A-9C6E-C98918DA95C1},,,2010,370690.203125,2548.37245732533
2443,2017,CA,CDF,LNU,SPRING,00008425,2017/08/30 00:00:00+00,2017/08/30 00:00:00+00,14,1,1,11.88886,,,,,,2010,78075.02734375,1358.79868454449
2444,2017,CA,CDF,LNU,NUNS,00010049,2017/10/08 00:00:00+00,2017/10/31 00:00:00+00,14,3,1,55798.19,"Nuns,Partrick, Adobe, Norrbom and Pressley merged into Nuns ",SOUTHERN LNU COMPLEX,,,,2010,368001231.152344,305483.095957225
2445,2017,CA,CDF,LNU,PRESSLEY,00010049,2017/10/08 00:00:00+00,2017/10/15 00:00:00+00,14,7,1,791.8881,Merged into Nuns,SOUTHERN LNU COMPLEX,,,00010105,2010,5220479.7734375,22361.236287623
2446,2017,CA,CDF,LNU,YOUNG,00010104,2017/10/08 00:00:00+00,2017/10/25 00:00:00+00,14,3,1,106.0054,,,{2835D041-3E7D-4411-B24D-383B40EF84A7},,,2010,703953.59765625,8139.1320045411
2447,2017,CA,CDF,LNU,TUBBS,00010045,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,14,3,1,36701.98,,CENTRAL LNU COMPLEX,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},,,2010,243263473.980469,167697.410771926
2448,2017,CA,CDF,LNU,POCKET,00010057,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,14,3,1,17359.33,,CENTRAL LNU COMPLEX,{76684AA7-F35B-4475-AB88-5680B8448865},,,2010,115747128.898438,143951.044920168
2449,2017,CA,CDF,LNU,ATLAS,00010105,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,14,3,1,51624.66,,SOUTHERN LNU COMPLEX,{3B9A40DB-C6B6-415D-9746-A277C562972C},,,2010,340432031.839844,217876.451020478
2450,2017,CA,CDF,LNU,SULPHER,00010055,2017/10/09 00:00:00+00,2017/10/25 00:00:00+00,14,3,1,2206.23,,MENDOCINO LAKE COMPLEX,{CF0442AA-9C51-4394-A8AA-60E44C18B6C8},,,2010,14801308.0273438,34296.0561926603
2451,2017,CA,CDF,LNU,CLOVER,00009421,2017/09/23 00:00:00+00,2017/09/24 00:00:00+00,14,1,1,13.89886,,,,,,2010,92187.86328125,1796.92850354414
2452,2017,CA,CDF,LNU,ROCKVILLE,00008152,2017/08/23 00:00:00+00,2017/08/23 00:00:00+00,14,1,1,23.23989,,,,,,2010,152731.83984375,2183.05689922613
2453,2017,CA,CDF,LMU,CENTERVILLE,00004009,2017/07/17 00:00:00+00,2017/07/20 00:00:00+00,14,1,1,15.61061,,,{B4B04431-6BBC-4144-8129-65B6E88FDEB9},,,2010,112564.47265625,1582.99112549483
2454,2017,CA,CDF,LMU,PINE,00004312,2017/07/27 00:00:00+00,2017/07/31 00:00:00+00,1,1,1,21.24126,,,,,,2010,153031.703125,1967.52818534155
2455,2017,CA,CDF,LMU,JOESPH,00005195,2017/08/30 00:00:00+00,2017/09/05 00:00:00+00,1,1,1,28.71929,,,,,,2010,208215.15625,2153.29513984405
2456,2017,CA,CDF,LMU,3-20,00005560,2017/09/12 00:00:00+00,2017/09/23 00:00:00+00,1,1,1,10.83091,,,{2AA99E26-A9A5-40B5-9E6E-FAF7112CF1F1},,,2010,77691.7890625,1227.22512199131
2457,2017,CA,CCO,LAC,ENCINAL,00125827,2017/04/29 00:00:00+00,2017/04/29 00:00:00+00,2,7,1,2.525276,,,{63478059-83BE-4EF5-9110-D580E9843F53},,,2010,14933.80078125,750.120974597807
2458,2017,CA,CCO,LAC,PLACERITA,00187296,2017/06/25 00:00:00+00,2017/06/26 00:00:00+00,7,7,1,759.7584,,,{02254813-7E4E-4ED4-89FD-9E407D442697},,,2010,4525545.8359375,18978.9736384337
2459,2017,CA,CCO,LAC,LAKE,00178275,2017/06/17 00:00:00+00,2017/06/17 00:00:00+00,14,7,1,733.2616,,,{B859BA3F-49F8-4D3F-A1D9-7ABBA2744B59},,,2010,4385183.73828125,17739.3844126574
2460,2017,CA,CCO,LAC,STOKES,00191819,2017/06/29 00:00:00+00,2017/07/02 00:00:00+00,14,7,1,42.10419,,,{E4E6DF64-93C5-4409-87AD-2E5333EC0179},,,2010,249150.1953125,2640.65544771803
2461,2017,CA,CCO,LAC,GAVINA,00143075,2017/05/15 00:00:00+00,2017/05/15 00:00:00+00,4,1,1,2.574129,,,,,,2010,15311.2265625,712.967430517682
2462,2017,CA,CCO,LAC,MULHOLLAND,00147096,2017/05/19 00:00:00+00,2017/05/19 00:00:00+00,14,1,1,7.373501,,,{958FED8D-8D55-421F-8D24-447D5137F05F},,,2010,43624.45703125,1365.05840633091
2463,2017,CA,CCO,LAC,BARN,00157711,2017/05/29 00:00:00+00,2017/05/29 00:00:00+00,4,7,1,2.064039,,,{B9F4AA08-A5F5-4CB0-8B31-45DB1F9E42E6},,,2010,12330.96875,541.38648636913
2464,2017,CA,CCO,LAC,FIVE,00163449,2017/06/03 00:00:00+00,2017/06/03 00:00:00+00,14,7,1,25.30416,,,{345A6716-8356-46DB-82EC-3AB757B61766},,,2010,151271.87109375,2686.85859822005
2465,2017,CA,CCO,LAC,SOUTH,00174063,2017/06/13 00:00:00+00,2017/06/13 00:00:00+00,4,1,1,9.507282,,,{1FD3FE3D-1A73-4615-9BF9-9F2CD7489F74},,,2010,57020.25390625,1177.2297938569
2466,2017,CA,CCO,LAC,WAGON,00184068,2017/06/22 00:00:00+00,2017/06/22 00:00:00+00,2,7,1,0.1805364,,,{E4974E24-69AC-4FAA-ABE0-A66BD280BFDE},,,2010,1078.046875,154.415832407693
2467,2017,CA,CCO,LAC,BROWNS,00197749,2017/07/04 00:00:00+00,2017/07/05 00:00:00+00,8,7,1,0.03477105,,,{9C7968DB-4830-4A82-BFF7-A3B1F41AECC5},,,2010,206.75,76.8444736800326
2468,2017,CA,CCO,LAC,VISTA,00224040,2017/07/29 00:00:00+00,2017/07/29 00:00:00+00,14,7,1,0.5557644,,,{E087E0B2-2823-49ED-B0C4-F5AF81FB46CF},,,2010,3322.33203125,327.685859742429
2469,2017,CA,CCO,LAC,PALMS,00227042,2017/07/31 00:00:00+00,2017/07/31 00:00:00+00,14,7,1,2.911873,,,{1D919F81-BE62-4695-B5A3-57744AF5D91A},,,2010,17195.82421875,667.983315539701
2470,2017,CA,CCO,LAC,JOHNSON,00171906,2017/06/11 00:00:00+00,2017/06/11 00:00:00+00,7,7,1,38.81298,,,{54EB6B22-5E67-4A0E-AB00-1CF18B101B16},,,2010,232771.9453125,3727.66889737429
2471,2017,CA,CCO,LAC,CANYON,00197049,2017/07/04 00:00:00+00,2017/07/04 00:00:00+00,14,7,1,1.362349,,,{1A8A7FFA-5C95-4012-ADC5-DE22ABC41F82},,,2010,8033.296875,804.378836961196
2472,2017,CA,CCO,LAC,NEENACH,00192904,2017/06/30 00:00:00+00,2017/06/30 00:00:00+00,2,7,1,18.74323,,,{BFABB4EC-2D56-40C8-A73F-11349A3EAFCD},,,2010,112692.73046875,1732.55656891096
2473,2017,CA,CCO,LAC,OLD,00212637,2017/07/18 00:00:00+00,2017/07/18 00:00:00+00,2,7,1,1.638321,,,{0AF6CEA9-ED57-4B87-AE8F-A554C4679A0B},,,2010,9747.8828125,621.700390963247
2474,2017,CA,CCO,LAC,HASLEY,00202478,2017/07/09 00:00:00+00,2017/07/09 00:00:00+00,8,1,1,1.342572,,,{1231E7AF-E060-4093-9B94-667C24CDE7E8},,,2010,8010.05859375,396.208921324656
2475,2017,CA,CCO,LAC,MARTINEZ,00298577,2017/10/05 00:00:00+00,2017/10/06 00:00:00+00,7,1,1,0.05247684,,,{D90A6446-BD8D-47D8-8006-EE29631046A2},,,2010,313.05859375,84.9692708032463
2476,2017,CA,CCO,LAC,COYOTE,00324083,2017/10/29 00:00:00+00,2017/10/29 00:00:00+00,14,1,1,0.2426913,,,{6469813F-9AC4-4D7F-935B-4D9205B9E430},,,2010,1438.92578125,207.601785479195
2477,2017,CA,CCO,LAC,MEDLEY,00314882,2017/10/21 00:00:00+00,2017/10/21 00:00:00+00,14,1,1,0.02775379,,,{5475AA3F-FE68-46CC-862F-EB28DFCF8052},,,2010,164.1484375,61.6310025173991
2478,2017,CA,CCO,LAC,TETON,00290730,2017/09/28 00:00:00+00,2017/09/28 00:00:00+00,14,7,1,0.3011239,,,{412AE3A6-C702-4D39-ABE9-D863A433412E},,,2010,1777.46875,219.109806654465
2479,2017,CA,CCO,LAC,LEONA,00270836,2017/09/09 00:00:00+00,2017/09/09 00:00:00+00,11,1,1,0.139297,,,{AAAB52D0-2FC6-40B1-A32D-B657D05A3457},,,2010,834.13671875,136.421125774922
2480,2017,CA,CCO,LAC,ESCONDIDO,00241015,2017/08/13 00:00:00+00,2017/08/13 00:00:00+00,14,1,1,65.97264,,,{42732492-4027-4BC0-BD12-6081046E073F},,,2010,394057.0078125,3261.06603557647
2481,2017,CA,CCO,LAC,PARKMOR,00220731,2017/07/25 00:00:00+00,2017/07/25 00:00:00+00,14,1,1,1.132044,,,{F9F82135-E30D-49DC-BF6A-87F54B627487},,,2010,6707.03125,322.580428171964
2482,2017,CA,CCO,LAC,TOWSLEY,00207488,2017/07/13 00:00:00+00,2017/07/15 00:00:00+00,8,7,1,35.99306,,,{996E935B-961A-41BE-8B01-4EAADBB3CCDA},,,2010,214235.859375,2985.56062120632
2483,2017,CA,CCO,LAC,RODEO,00218382,2017/07/23 00:00:00+00,2017/07/23 00:00:00+00,14,1,1,61.10294,,,{B5E6EA87-1F6D-4527-9D4A-FF10CC452111},,,2010,361739.70703125,6777.39635565649
2484,2017,CA,CCO,LAC,GORMAN,00223518,2017/07/28 00:00:00+00,2017/07/28 00:00:00+00,14,7,1,149.61,,,{F7F75624-EE91-4EB2-903A-3F1C67C4E18A},,,2010,899961.0078125,6001.88563704616
2485,2017,CA,CCO,LAC,SIERRA,00255759,2017/08/27 00:00:00+00,2017/08/28 00:00:00+00,2,1,1,36.46341,,,{67F41B06-0352-4DEF-9B3B-749CECBF03E7},,,2010,217830.67578125,2749.51960208942
2486,2017,CA,CCO,LAC,HACIENDA,00338819,2017/11/12 00:00:00+00,2017/11/12 00:00:00+00,14,1,1,0.247208,,,{B9E9849E-395E-4B50-835F-2E2FEC40F6DC},,,2010,1458.421875,212.624414426701
